col1,col2
18:29.1,1884
18:29.1,1866
18:29.1,1856
18:29.1,1847
18:29.1,1790
18:29.1,1775
18:29.1,1827
18:29.1,1870
18:29.1,1905
18:29.1,1956
18:29.1,2006
18:29.1,2044
18:29.1,2045
18:29.1,1987
18:29.1,1953
18:29.1,1931
18:29.1,1906
18:29.1,1914
18:29.1,1930
18:29.1,1932
18:29.1,1930
18:29.1,1913
18:29.1,1902
18:29.1,1913
18:29.1,1914
18:29.1,1924
18:29.1,1938
18:29.1,1950
18:29.1,1946
18:29.1,1939
18:29.1,1915
18:29.1,1928
18:29.1,1948
18:29.1,1968
18:29.1,1925
18:29.1,1894
18:29.1,1903
18:29.1,1898
18:29.1,1864
18:29.1,1828
18:29.1,1844
18:29.1,1873
18:29.1,1869
18:29.2,1875
18:29.2,1882
18:29.2,1890
18:29.2,1900
18:29.2,1901
18:29.2,1930
18:29.2,1929
18:29.2,1928
18:29.2,1917
18:29.2,1893
18:29.2,1883
18:29.2,1872
18:29.2,1869
18:29.2,1880
18:29.2,1873
18:29.2,1885
18:29.2,1925
18:29.2,1966
18:29.2,1919
18:29.2,1920
18:29.2,1921
18:29.2,1922
18:29.2,1922
18:29.2,1921
18:29.2,1919
18:29.2,1917
18:29.2,1917
18:29.2,1919
18:29.2,1920
18:29.2,1925
18:29.2,1929
18:29.2,1911
18:29.2,1931
18:29.2,1927
18:29.2,1910
18:29.2,1918
18:29.2,1939
18:29.2,1961
18:29.2,1963
18:29.2,1962
18:29.2,1923
18:29.2,1850
18:29.2,1790
18:29.2,1784
18:29.2,1870
18:29.2,1902
18:29.2,1913
18:29.2,1922
18:29.2,1936
18:29.2,1932
18:29.2,1942
18:29.3,1920
18:29.3,1911
18:29.3,1896
18:29.3,1865
18:29.3,1879
18:29.3,1893
18:29.3,1905
18:29.3,1945
18:29.3,1950
18:29.3,1967
18:29.3,1997
18:29.3,2036
18:29.3,2061
18:29.3,2057
18:29.3,2004
18:29.3,1970
18:29.3,1954
18:29.3,1952
18:29.3,1956
18:29.3,1968
18:29.3,1957
18:29.3,1939
18:29.3,1933
18:29.3,1934
18:29.3,1927
18:29.3,1923
18:29.3,1924
18:29.3,1922
18:29.3,1932
18:29.3,1953
18:29.3,1968
18:29.3,1963
18:29.3,1963
18:29.3,1957
18:29.3,1975
18:29.3,1988
18:29.3,1960
18:29.3,1913
18:29.3,1904
18:29.3,1921
18:29.3,1930
18:29.3,1931
18:29.3,1925
18:29.3,1928
18:29.3,1926
18:29.3,1921
18:29.3,1894
18:29.3,1848
18:29.3,1880
18:29.3,1890
18:29.3,1893
18:29.3,1911
18:29.4,1929
